file,line_no,category,usage_guess,old_path,proposed_new_path,proposed_new_exists,scope,line
/proj/zefflab/projects/Flooding/pipeline/code/config_schema.py,39,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county,/users/e/p/epsilon/Data/Data/harris_county,True,,"DEFAULT_DATA_ROOT = ""/proj/zefflab/projects/Flooding/Data/harris_county"""
/proj/zefflab/projects/Flooding/pipeline/code/config_schema.py,39,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county_ppp,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county_ppp,True,,"DEFAULT_DATA_ROOT = ""/proj/zefflab/projects/Flooding/Data/harris_county"""
/proj/zefflab/projects/Flooding/pipeline/code/config_schema.py,42,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county,/users/e/p/epsilon/Data/Data/harris_county,True,,"""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county_ppp"""
/proj/zefflab/projects/Flooding/pipeline/code/config_schema.py,42,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county_ppp,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county_ppp,True,,"""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county_ppp"""
/proj/zefflab/projects/Flooding/pipeline/web_launcher/manual.html,598,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county,/users/e/p/epsilon/Data/Data/harris_county,True,"HTML block near data_root: <input type=""hidden"" data-key=""data_root"" data-type=""string"" value=""/proj/zefflab/projects/Flooding/Data/harris_county"">","<input type=""hidden"" data-key=""data_root"" data-type=""string"" value=""/proj/zefflab/projects/Flooding/Data/harris_county"">"
/proj/zefflab/projects/Flooding/pipeline/web_launcher/manual.html,775,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county,/users/e/p/epsilon/Data/Data/harris_county/catalogs/static/harris_county,True,"HTML block near tab-4: <div class=""panel tab-panel"" id=""tab-4"">","placeholder=""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/static/harris_county"""
/proj/zefflab/projects/Flooding/pipeline/web_launcher/manual.html,785,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs,/users/e/p/epsilon/Data/Data/harris_county/catalogs,True,"HTML block near tab-4: <div class=""panel tab-panel"" id=""tab-4"">","data-browse-start=""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs"""
/proj/zefflab/projects/Flooding/pipeline/web_launcher/manual.html,3632,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county,/users/e/p/epsilon/Data/Data/harris_county,True,,"defaultStart: ""/proj/zefflab/projects/Flooding/Data/harris_county"""
/proj/zefflab/projects/Flooding/pipeline/web_launcher/override.html,955,OLD_PROJ_DATA_ROOT,UNCLEAR_REVIEW,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/events/harvey_2017_mrms,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/harvey_2017_mrms,True,"HTML block near manual-4: <div class=""manual-panel"" id=""manual-4"">","placeholder=""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/events/harvey_2017_mrms"""
/proj/zefflab/projects/Flooding/pipeline/web_launcher/override.html,971,OLD_PROJ_DATA_ROOT,LIKELY_BROWSE_OR_DEFAULT_ONLY,/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/events/harvey_2017_mrms,/users/e/p/epsilon/Data/Data/harris_county/catalogs/events/harvey_2017_mrms,True,"HTML block near manual-4: <div class=""manual-panel"" id=""manual-4"">","placeholder=""/proj/zefflab/projects/Flooding/Data/harris_county/catalogs/events/harvey_2017_mrms"""
